Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_05_231.jpg,0,1,0,0.4087765,99.74585,85.70301,1.14175,56.66339,0.0003705313
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_05_297.jpg,0,1,0,0.4654494,99.76109,85.72603,1.10358,56.67403,-1.328932E-05
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_05_364.jpg,0,1,0,0.5149957,99.78455,85.76144,1.133751,56.69072,-0.001232103
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_05_431.jpg,0,1,0,0.5673521,99.80447,85.79151,1.20349,56.77696,-0.001907511
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_05_498.jpg,0,1,0,0.627238,99.82581,85.82354,1.238888,56.73436,-0.001013693
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_05_564.jpg,-1.499538,1,0,0.6824865,99.85613,85.86886,1.211485,56.70194,-0.00117735
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_05_631.jpg,-4.505981,1,0,0.7169076,99.88158,85.90536,1.197757,56.52404,0.0006629667
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_05_697.jpg,-7.471329,1,0,0.7876653,99.90948,85.94363,1.194848,56.11682,0.002099272
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_05_761.jpg,-10.41868,1,0,0.8479125,99.94057,85.98396,1.208736,55.51587,0.003535596
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_05_828.jpg,-13.41295,1,0,0.8996,99.9866,86.0397,1.210456,54.39024,0.004353242
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_05_901.jpg,-15,1,0,0.9420381,100.0244,86.08236,1.190411,53.34259,-0.003475689
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_05_963.jpg,-15,1,0,1.002665,100.0793,86.14157,1.18677,51.91004,359.984
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_06_029.jpg,-15,1,0,1.04264,100.1236,86.18727,1.191937,50.75404,359.9741
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_06_098.jpg,-15,1,0,1.106526,100.1709,86.23427,1.20765,49.56844,359.9669
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_06_165.jpg,-15,1,0,1.155531,100.2385,86.29842,1.21596,47.9719,359.9627
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_06_232.jpg,-13.48248,1,0,1.200837,100.2924,86.34795,1.216817,46.79019,359.9785
